authorization_id,scenario_id,customer_id,scope,data_category,purpose,status,effective_at,expires_at,source,withdrawn_at
AUTH-C001-DATA,demo-acts-1-3,C001,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C001-CONTACT,demo-acts-1-3,C001,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C002-DATA,demo-acts-1-3,C002,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C002-CONTACT,demo-acts-1-3,C002,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C003-DATA,demo-acts-1-3,C003,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C003-CONTACT,demo-acts-1-3,C003,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C004-DATA,demo-acts-1-3,C004,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C004-CONTACT,demo-acts-1-3,C004,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C005-DATA,demo-acts-1-3,C005,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C005-CONTACT,demo-acts-1-3,C005,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C006-DATA,demo-acts-1-3,C006,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C006-CONTACT,demo-acts-1-3,C006,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C007-DATA,demo-acts-1-3,C007,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C007-CONTACT,demo-acts-1-3,C007,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C008-DATA,demo-acts-1-3,C008,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C008-CONTACT,demo-acts-1-3,C008,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C009-DATA,demo-acts-1-3,C009,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C009-CONTACT,demo-acts-1-3,C009,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C010-DATA,demo-acts-1-3,C010,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C010-CONTACT,demo-acts-1-3,C010,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C011-DATA,demo-acts-1-3,C011,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C011-CONTACT,demo-acts-1-3,C011,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C012-DATA,demo-acts-1-3,C012,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C012-CONTACT,demo-acts-1-3,C012,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C013-DATA,demo-acts-1-3,C013,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C013-CONTACT,demo-acts-1-3,C013,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C014-DATA,demo-acts-1-3,C014,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C014-CONTACT,demo-acts-1-3,C014,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C015-DATA,demo-acts-1-3,C015,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C015-CONTACT,demo-acts-1-3,C015,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C016-DATA,demo-acts-1-3,C016,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C016-CONTACT,demo-acts-1-3,C016,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C017-DATA,demo-acts-1-3,C017,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C017-CONTACT,demo-acts-1-3,C017,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C018-DATA,demo-acts-1-3,C018,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C018-CONTACT,demo-acts-1-3,C018,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C019-DATA,demo-acts-1-3,C019,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C019-CONTACT,demo-acts-1-3,C019,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C020-DATA,demo-acts-1-3,C020,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C020-CONTACT,demo-acts-1-3,C020,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C021-DATA,demo-acts-1-3,C021,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C021-CONTACT,demo-acts-1-3,C021,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C022-DATA,demo-acts-1-3,C022,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C022-CONTACT,demo-acts-1-3,C022,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C023-DATA,demo-acts-1-3,C023,data_use,family_responsibility,protection_analysis,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
AUTH-C023-CONTACT,demo-acts-1-3,C023,business_contact,,protection_review,active,2025-09-15T09:00:00+08:00,2027-09-15T09:00:00+08:00,customer_authorization,
