event_id,scenario_id,customer_id,event_type,subject,occurred_at,source,metadata
BEH-0001,demo-acts-1-3,C001,family_information_updated,family_responsibility,2026-09-06T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0002,demo-acts-1-3,C001,content_viewed,critical_illness,2026-09-02T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0003,demo-acts-1-3,C001,content_viewed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0004,demo-acts-1-3,C001,assessment_completed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0005,demo-acts-1-3,C002,family_information_updated,family_responsibility,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0006,demo-acts-1-3,C002,content_viewed,critical_illness,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0007,demo-acts-1-3,C002,content_viewed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0008,demo-acts-1-3,C002,assessment_completed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0009,demo-acts-1-3,C003,family_information_updated,family_responsibility,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0010,demo-acts-1-3,C003,content_viewed,critical_illness,2026-08-31T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0011,demo-acts-1-3,C003,content_viewed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0012,demo-acts-1-3,C003,assessment_completed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0013,demo-acts-1-3,C004,family_information_updated,family_responsibility,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0014,demo-acts-1-3,C004,content_viewed,critical_illness,2026-08-30T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0015,demo-acts-1-3,C004,content_viewed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0016,demo-acts-1-3,C004,assessment_completed,critical_illness,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0017,demo-acts-1-3,C005,family_information_updated,family_responsibility,2026-09-02T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0018,demo-acts-1-3,C005,content_viewed,critical_illness,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0019,demo-acts-1-3,C005,content_viewed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0020,demo-acts-1-3,C005,assessment_completed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0021,demo-acts-1-3,C006,family_information_updated,family_responsibility,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0022,demo-acts-1-3,C006,content_viewed,critical_illness,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0023,demo-acts-1-3,C006,content_viewed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
