event_id,scenario_id,customer_id,contact_type,purpose,occurred_at,result,source
CONTACT-0001,demo-acts-1-3,C001,marketing,protection_review,2026-08-26T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0002,demo-acts-1-3,C028,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0003,demo-acts-1-3,C028,marketing,protection_review,2026-09-12T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0004,demo-acts-1-3,C056,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0005,demo-acts-1-3,C056,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0006,demo-acts-1-3,C056,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0007,demo-acts-1-3,C057,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0008,demo-acts-1-3,C057,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0009,demo-acts-1-3,C057,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0010,demo-acts-1-3,C058,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0011,demo-acts-1-3,C058,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0012,demo-acts-1-3,C058,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0013,demo-acts-1-3,C059,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0014,demo-acts-1-3,C059,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0015,demo-acts-1-3,C059,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0016,demo-acts-1-3,C060,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0017,demo-acts-1-3,C060,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0018,demo-acts-1-3,C060,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0019,demo-acts-1-3,C061,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0020,demo-acts-1-3,C061,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0021,demo-acts-1-3,C061,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0022,demo-acts-1-3,C062,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0023,demo-acts-1-3,C062,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0024,demo-acts-1-3,C062,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0025,demo-acts-1-3,C063,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0026,demo-acts-1-3,C063,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0027,demo-acts-1-3,C063,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0028,demo-acts-1-3,C064,marketing,protection_review,2026-09-09T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0029,demo-acts-1-3,C064,marketing,protection_review,2026-09-11T09:00:00+08:00,no_response,synthetic_contact_history
CONTACT-0030,demo-acts-1-3,C064,marketing,protection_review,2026-09-13T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0031,demo-acts-1-3,C065,marketing,protection_review,2026-09-14T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0032,demo-acts-1-3,C066,marketing,protection_review,2026-09-13T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0033,demo-acts-1-3,C067,marketing,protection_review,2026-09-12T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0034,demo-acts-1-3,C068,marketing,protection_review,2026-09-11T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0035,demo-acts-1-3,C069,marketing,protection_review,2026-09-10T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0036,demo-acts-1-3,C070,marketing,protection_review,2026-09-14T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0037,demo-acts-1-3,C071,marketing,protection_review,2026-09-13T09:00:00+08:00,explicit_refusal,synthetic_contact_history
CONTACT-0038,demo-acts-1-3,C015,marketing,protection_review,2026-09-10T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0039,demo-acts-1-3,C023,marketing,protection_review,2026-09-10T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0040,demo-acts-1-3,C031,marketing,protection_review,2026-09-10T09:00:00+08:00,opened,synthetic_contact_history
CONTACT-0041,demo-acts-1-3,C039,marketing,protection_review,2026-09-10T09:00:00+08:00,opened,synthetic_contact_history
