scenario_id,customer_id,age,family_stage,dependent_count,income_band,payment_capacity_band,profile_updated_at
demo-acts-1-3,C001,35,raising_children,2,300k-500k,high,2026-09-04T09:00:00+08:00
demo-acts-1-3,C002,42,raising_children,3,300k-500k,high,2026-09-03T09:00:00+08:00
demo-acts-1-3,C003,49,supporting_family,1,300k-500k,high,2026-09-02T09:00:00+08:00
demo-acts-1-3,C004,56,raising_children,2,300k-500k,high,2026-09-01T09:00:00+08:00
demo-acts-1-3,C005,34,raising_children,3,300k-500k,high,2026-08-31T09:00:00+08:00
demo-acts-1-3,C006,41,supporting_family,1,300k-500k,high,2026-08-30T09:00:00+08:00
demo-acts-1-3,C007,48,raising_children,2,300k-500k,high,2026-08-29T09:00:00+08:00
demo-acts-1-3,C008,55,raising_children,3,300k-500k,high,2026-08-28T09:00:00+08:00
demo-acts-1-3,C009,33,supporting_family,1,300k-500k,high,2026-08-27T09:00:00+08:00
demo-acts-1-3,C010,40,raising_children,2,300k-500k,high,2026-08-26T09:00:00+08:00
demo-acts-1-3,C011,47,raising_children,3,300k-500k,high,2026-08-25T09:00:00+08:00
demo-acts-1-3,C012,54,supporting_family,1,150k-300k,medium,2026-08-24T09:00:00+08:00
demo-acts-1-3,C013,32,raising_children,2,150k-300k,medium,2026-08-23T09:00:00+08:00
demo-acts-1-3,C014,39,raising_children,3,150k-300k,medium,2026-08-22T09:00:00+08:00
demo-acts-1-3,C015,46,supporting_family,1,150k-300k,medium,2026-08-21T09:00:00+08:00
demo-acts-1-3,C016,53,raising_children,2,150k-300k,medium,2026-08-20T09:00:00+08:00
demo-acts-1-3,C017,31,raising_children,3,150k-300k,medium,2026-08-19T09:00:00+08:00
demo-acts-1-3,C018,38,supporting_family,1,150k-300k,medium,2026-08-18T09:00:00+08:00
demo-acts-1-3,C019,45,raising_children,2,150k-300k,medium,2026-08-17T09:00:00+08:00
demo-acts-1-3,C020,52,raising_children,3,150k-300k,medium,2026-08-16T09:00:00+08:00
demo-acts-1-3,C021,30,supporting_family,1,150k-300k,medium,2026-08-15T09:00:00+08:00
demo-acts-1-3,C022,37,raising_children,2,150k-300k,medium,2026-08-14T09:00:00+08:00
demo-acts-1-3,C023,44,raising_children,3,150k-300k,medium,2026-08-13T09:00:00+08:00
demo-acts-1-3,C024,51,supporting_family,1,150k-300k,medium,2026-08-12T09:00:00+08:00
