fact_id,scenario_id,customer_id,responsibility_level,required_coverage_amount,source_type,occurred_at,valid_until,authorization_id
FAMILY-C001,demo-acts-1-3,C001,high,1200000,customer_update,2026-09-09T09:00:00+08:00,2027-03-08T09:00:00+08:00,AUTH-C001-DATA
FAMILY-C002,demo-acts-1-3,C002,high,1200000,customer_update,2026-09-08T09:00:00+08:00,2027-03-07T09:00:00+08:00,AUTH-C002-DATA
FAMILY-C003,demo-acts-1-3,C003,high,1200000,customer_update,2026-09-07T09:00:00+08:00,2027-03-06T09:00:00+08:00,AUTH-C003-DATA
FAMILY-C004,demo-acts-1-3,C004,high,1200000,customer_update,2026-09-06T09:00:00+08:00,2027-03-05T09:00:00+08:00,AUTH-C004-DATA
FAMILY-C005,demo-acts-1-3,C005,high,1200000,customer_update,2026-09-05T09:00:00+08:00,2027-03-04T09:00:00+08:00,AUTH-C005-DATA
FAMILY-C006,demo-acts-1-3,C006,high,1200000,customer_update,2026-09-04T09:00:00+08:00,2027-03-03T09:00:00+08:00,AUTH-C006-DATA
FAMILY-C007,demo-acts-1-3,C007,high,1200000,customer_update,2026-09-03T09:00:00+08:00,2027-03-02T09:00:00+08:00,AUTH-C007-DATA
FAMILY-C008,demo-acts-1-3,C008,high,1200000,customer_update,2026-09-02T09:00:00+08:00,2027-03-01T09:00:00+08:00,AUTH-C008-DATA
FAMILY-C009,demo-acts-1-3,C009,high,1200000,customer_update,2026-09-01T09:00:00+08:00,2027-02-28T09:00:00+08:00,AUTH-C009-DATA
FAMILY-C010,demo-acts-1-3,C010,high,1200000,customer_update,2026-08-31T09:00:00+08:00,2027-02-27T09:00:00+08:00,AUTH-C010-DATA
FAMILY-C011,demo-acts-1-3,C011,high,1200000,customer_update,2026-08-30T09:00:00+08:00,2027-02-26T09:00:00+08:00,AUTH-C011-DATA
FAMILY-C012,demo-acts-1-3,C012,high,1000000,protection_assessment,2026-08-29T09:00:00+08:00,2027-02-25T09:00:00+08:00,AUTH-C012-DATA
FAMILY-C013,demo-acts-1-3,C013,high,1000000,protection_assessment,2026-08-28T09:00:00+08:00,2027-02-24T09:00:00+08:00,AUTH-C013-DATA
FAMILY-C014,demo-acts-1-3,C014,high,1000000,protection_assessment,2026-08-27T09:00:00+08:00,2027-02-23T09:00:00+08:00,AUTH-C014-DATA
FAMILY-C015,demo-acts-1-3,C015,high,1000000,protection_assessment,2026-08-26T09:00:00+08:00,2027-02-22T09:00:00+08:00,AUTH-C015-DATA
FAMILY-C016,demo-acts-1-3,C016,high,1000000,protection_assessment,2026-08-25T09:00:00+08:00,2027-02-21T09:00:00+08:00,AUTH-C016-DATA
FAMILY-C017,demo-acts-1-3,C017,high,1000000,protection_assessment,2026-08-24T09:00:00+08:00,2027-02-20T09:00:00+08:00,AUTH-C017-DATA
FAMILY-C018,demo-acts-1-3,C018,high,1000000,protection_assessment,2026-08-23T09:00:00+08:00,2027-02-19T09:00:00+08:00,AUTH-C018-DATA
