policy_id,scenario_id,customer_id,coverage_type,insured_amount,annual_premium,payment_period,effective_at,next_anniversary_date,status
POL-C001-CI,demo-acts-1-3,C001,critical_illness,260000,4200,20_years,2025-09-12T09:00:00+08:00,2026-11-15,active
POL-C002-CI,demo-acts-1-3,C002,critical_illness,280000,4800,20_years,2025-09-09T09:00:00+08:00,2026-11-16,active
POL-C003-CI,demo-acts-1-3,C003,critical_illness,300000,5400,20_years,2025-09-06T09:00:00+08:00,2026-11-17,active
POL-C004-CI,demo-acts-1-3,C004,critical_illness,240000,6000,20_years,2025-09-03T09:00:00+08:00,2026-11-18,active
POL-C005-CI,demo-acts-1-3,C005,critical_illness,260000,6600,20_years,2025-08-31T09:00:00+08:00,2026-11-19,active
POL-C006-CI,demo-acts-1-3,C006,critical_illness,280000,7200,20_years,2025-08-28T09:00:00+08:00,2026-11-20,active
POL-C007-CI,demo-acts-1-3,C007,critical_illness,300000,7800,20_years,2025-08-25T09:00:00+08:00,2026-11-21,active
POL-C008-CI,demo-acts-1-3,C008,critical_illness,240000,3600,20_years,2025-08-22T09:00:00+08:00,2026-11-22,active
POL-C009-CI,demo-acts-1-3,C009,critical_illness,260000,4200,20_years,2025-08-19T09:00:00+08:00,2026-11-23,active
POL-C010-CI,demo-acts-1-3,C010,critical_illness,280000,4800,20_years,2025-08-16T09:00:00+08:00,2026-11-24,active
POL-C011-CI,demo-acts-1-3,C011,critical_illness,300000,5400,20_years,2025-08-13T09:00:00+08:00,2026-11-25,active
POL-C012-CI,demo-acts-1-3,C012,critical_illness,500000,6000,20_years,2025-08-10T09:00:00+08:00,2026-11-26,active
POL-C013-CI,demo-acts-1-3,C013,critical_illness,550000,6600,20_years,2025-08-07T09:00:00+08:00,2026-11-27,active
POL-C014-CI,demo-acts-1-3,C014,critical_illness,600000,7200,20_years,2025-08-04T09:00:00+08:00,2026-11-28,active
POL-C015-CI,demo-acts-1-3,C015,critical_illness,650000,7800,20_years,2025-08-01T09:00:00+08:00,2026-11-29,active
POL-C016-CI,demo-acts-1-3,C016,critical_illness,500000,3600,20_years,2025-07-29T09:00:00+08:00,2026-11-30,active
POL-C017-CI,demo-acts-1-3,C017,critical_illness,550000,4200,20_years,2025-07-26T09:00:00+08:00,2026-12-01,active
POL-C018-CI,demo-acts-1-3,C018,critical_illness,600000,4800,20_years,2025-07-23T09:00:00+08:00,2026-12-02,active
POL-C019-CI,demo-acts-1-3,C019,critical_illness,650000,5400,20_years,2025-07-20T09:00:00+08:00,2026-12-03,active
POL-C020-CI,demo-acts-1-3,C020,critical_illness,500000,6000,20_years,2025-07-17T09:00:00+08:00,2026-12-04,active
POL-C021-CI,demo-acts-1-3,C021,critical_illness,550000,6600,20_years,2025-07-14T09:00:00+08:00,2026-12-05,active
POL-C022-CI,demo-acts-1-3,C022,critical_illness,600000,7200,20_years,2025-07-11T09:00:00+08:00,2026-12-06,active
POL-C023-CI,demo-acts-1-3,C023,critical_illness,650000,7800,20_years,2025-07-08T09:00:00+08:00,2026-12-07,active
POL-C024-CI,demo-acts-1-3,C024,critical_illness,500000,3600,20_years,2025-07-05T09:00:00+08:00,2026-12-08,active
POL-C025-CI,demo-acts-1-3,C025,critical_illness,550000,4200,20_years,2025-07-02T09:00:00+08:00,2026-12-09,active
POL-C026-CI,demo-acts-1-3,C026,critical_illness,600000,4800,20_years,2025-06-29T09:00:00+08:00,2026-12-10,active
POL-C027-CI,demo-acts-1-3,C027,critical_illness,650000,5400,20_years,2025-06-26T09:00:00+08:00,2026-12-11,active
POL-C028-CI,demo-acts-1-3,C028,critical_illness,240000,6000,20_years,2025-06-23T09:00:00+08:00,2026-12-12,active
POL-C029-CI,demo-acts-1-3,C029,critical_illness,550000,6600,20_years,2025-06-20T09:00:00+08:00,2026-12-13,active
POL-C030-CI,demo-acts-1-3,C030,critical_illness,600000,7200,20_years,2025-06-17T09:00:00+08:00,2026-09-17,active
