fact_id,scenario_id,customer_id,information_complete,payment_capacity_available,candidate_scope_available,professional_review_required,evaluated_at,definition_version
SUIT-C001,demo-acts-1-3,C001,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C002,demo-acts-1-3,C002,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C003,demo-acts-1-3,C003,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C004,demo-acts-1-3,C004,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C005,demo-acts-1-3,C005,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C006,demo-acts-1-3,C006,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C007,demo-acts-1-3,C007,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C008,demo-acts-1-3,C008,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C009,demo-acts-1-3,C009,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C010,demo-acts-1-3,C010,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C011,demo-acts-1-3,C011,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C012,demo-acts-1-3,C012,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C013,demo-acts-1-3,C013,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C014,demo-acts-1-3,C014,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C015,demo-acts-1-3,C015,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C016,demo-acts-1-3,C016,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C017,demo-acts-1-3,C017,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C018,demo-acts-1-3,C018,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C019,demo-acts-1-3,C019,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C020,demo-acts-1-3,C020,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C021,demo-acts-1-3,C021,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C022,demo-acts-1-3,C022,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C023,demo-acts-1-3,C023,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C024,demo-acts-1-3,C024,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C025,demo-acts-1-3,C025,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C026,demo-acts-1-3,C026,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C027,demo-acts-1-3,C027,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C028,demo-acts-1-3,C028,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C029,demo-acts-1-3,C029,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C030,demo-acts-1-3,C030,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C031,demo-acts-1-3,C031,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C032,demo-acts-1-3,C032,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C033,demo-acts-1-3,C033,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C034,demo-acts-1-3,C034,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C035,demo-acts-1-3,C035,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C036,demo-acts-1-3,C036,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C037,demo-acts-1-3,C037,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C038,demo-acts-1-3,C038,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C039,demo-acts-1-3,C039,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C040,demo-acts-1-3,C040,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C041,demo-acts-1-3,C041,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C042,demo-acts-1-3,C042,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C043,demo-acts-1-3,C043,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C044,demo-acts-1-3,C044,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C045,demo-acts-1-3,C045,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C046,demo-acts-1-3,C046,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C047,demo-acts-1-3,C047,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C048,demo-acts-1-3,C048,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C049,demo-acts-1-3,C049,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C050,demo-acts-1-3,C050,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C051,demo-acts-1-3,C051,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C052,demo-acts-1-3,C052,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C053,demo-acts-1-3,C053,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C054,demo-acts-1-3,C054,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C055,demo-acts-1-3,C055,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C056,demo-acts-1-3,C056,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C057,demo-acts-1-3,C057,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C058,demo-acts-1-3,C058,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C059,demo-acts-1-3,C059,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C060,demo-acts-1-3,C060,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C061,demo-acts-1-3,C061,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C062,demo-acts-1-3,C062,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C063,demo-acts-1-3,C063,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C064,demo-acts-1-3,C064,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C065,demo-acts-1-3,C065,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C066,demo-acts-1-3,C066,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C067,demo-acts-1-3,C067,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C068,demo-acts-1-3,C068,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C069,demo-acts-1-3,C069,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C070,demo-acts-1-3,C070,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C071,demo-acts-1-3,C071,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
